user,history_item_id,history_rating,item_id,rating
251362,"[151775, 197540, 5474, 216282, 116430, 216277, 216289, 216286, 2583, 216272]","[1, 0, 1, 0, 0, 1, 1, 1, 0, 1]",20022,1
221713,"[3300, 18649, 3679, 24466, 124755, 90597, 40788]","[0, 0, 1, 1, 1, 0, 0]",22417,1
195049,"[91924, 117074, 30600, 7739, 13521, 1963, 16406, 39340, 40659, 113867]","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",61881,0
156876,"[223527, 124894, 155953, 66511, 223517, 82149, 26, 161395, 223524, 161393]","[1, 1, 1, 0, 1, 0, 1, 0, 0, 1]",124895,1
171680,"[3025, 4440, 7131, 3120]","[0, 1, 1, 1]",678,1
149250,"[10205, 10927, 11464, 225, 1129, 1195]","[0, 0, 0, 0, 0, 1]",1571,0
161677,"[146201, 83068, 16990, 9474, 148302, 231, 679, 176588, 245, 2978]","[0, 1, 1, 0, 1, 1, 1, 1, 0, 0]",62400,1
99312,"[24294, 191291, 191358, 57004, 67133, 191248, 62125, 191318, 191355, 191346]","[0, 1, 1, 1, 1, 1, 0, 0, 0, 0]",3283,1
102955,"[47691, 7856, 498, 2517, 583]","[1, 0, 1, 1, 1]",66413,0
240353,"[52093, 17479, 19]","[1, 0, 0]",47090,1
136025,"[68843, 10731, 1962]","[1, 1, 1]",56666,1
76748,"[200479, 117380, 200459, 5928, 4340, 200473, 200463, 200475, 14090, 200466]","[1, 1, 1, 0, 1, 0, 1, 1, 0, 0]",185115,1
22154,"[39409, 39434, 18353, 39422, 39412, 39405, 522, 39440, 39441, 1299]","[0, 1, 1, 1, 0, 0, 0, 1, 0, 0]",39406,1
26609,"[48878, 48876, 26633]","[0, 0, 0]",48877,0
116428,"[6836, 121650, 90440, 54100, 54231, 92995, 6038, 9830, 118, 681]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",1485,0
161753,"[65678, 67164, 1789]","[1, 0, 1]",56062,1
213921,"[210027, 210030, 210028, 62745, 210025, 210022]","[0, 0, 0, 0, 1, 0]",210024,1
230179,"[264325, 264323, 264322]","[1, 1, 1]",264324,1
102033,"[10028, 131719, 4706, 7838, 51826, 24856, 94128, 131718, 81609, 33603]","[0, 1, 1, 1, 1, 0, 0, 1, 1, 1]",12580,0
79952,"[165697, 165704, 6396, 800, 165700, 165706, 4291, 165689, 125378, 63248]","[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",7043,0
23870,"[18716, 2035, 6649]","[1, 0, 1]",121,1
125121,"[211825, 60553, 13416, 133190, 211820, 44468, 104215, 10929, 35106, 40142]","[1, 0, 0, 0, 0, 1, 0, 0, 1, 0]",211821,1
47971,"[44777, 92891, 92885, 22509, 77197, 92888, 7015, 2918, 92904, 4104]","[0, 1, 1, 0, 1, 0, 1, 0, 1, 0]",3714,0
68836,"[26618, 2446, 4817, 49072, 47828, 67750, 37240, 1106, 5875, 6648]","[0, 0, 1, 0, 1, 1, 1, 1, 0, 1]",54538,0
71853,"[9045, 183265, 1134, 6478, 183279, 183260, 14981, 91132, 118, 183238]","[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",23258,0
41856,"[83590, 43636, 21552]","[1, 0, 1]",83589,0
111032,"[20996, 61491, 61445, 565, 9399, 4639, 1478, 139, 94208, 19061]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",149143,1
12698,"[2554, 13450, 8931, 1860, 13446, 10300, 1435, 13449, 13447, 12985]","[0, 0, 1, 0, 0, 1, 0, 1, 1, 0]",456,1
247129,"[98491, 19452, 410, 408, 9691, 106954, 93843, 113932, 20107, 1777]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",4080,0
138906,"[73181, 1543, 5283, 7546]","[1, 1, 1, 1]",13006,1
217895,"[116687, 49410, 143939, 135382, 36163, 34668, 3019, 85876, 55597, 27208]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",23351,0
132957,"[122008, 2618, 482]","[1, 1, 1]",4041,1
158904,"[171636, 20170, 40935, 2742]","[1, 0, 0, 1]",114378,0
44845,"[51758, 14512, 1879, 88591, 56119, 88631, 2555, 29729, 73095, 88636]","[0, 0, 0, 0, 1, 0, 0, 1, 0, 1]",74852,0
10863,"[11843, 11840, 11841, 11839, 11842]","[1, 1, 1, 0, 1]",11844,0
201042,"[140609, 125110, 4264, 21244, 140593, 7888, 69947, 7084, 140589, 140568]","[0, 1, 0, 1, 0, 1, 0, 0, 1, 0]",29990,0
226517,"[208332, 8467, 208326, 167811, 58917, 124244, 74853, 33486]","[0, 0, 1, 1, 0, 1, 0, 0]",208330,0
194296,"[125287, 244, 17419, 26, 30595]","[0, 0, 1, 0, 0]",34446,0
82407,"[28, 2995, 2143, 210148, 94871, 1107, 11074, 210099, 129123, 3674]","[0, 0, 1, 0, 0, 1, 1, 0, 0, 0]",8901,0
24028,"[6933, 1885, 4079]","[0, 0, 0]",5067,0
32893,"[63247, 7997, 5951, 26615]","[0, 1, 0, 0]",41595,0
275466,"[51207, 41128, 2880, 4273, 5969, 31711]","[1, 0, 1, 1, 1, 0]",12149,0
246088,"[146798, 9111, 3784, 1373, 647, 17480]","[0, 1, 0, 0, 0, 1]",1702,1
33597,"[63997, 63995, 59981, 3737, 63990, 63993]","[1, 0, 0, 0, 0, 0]",63989,0
242073,"[37059, 41167, 28951, 6756, 4219, 269605, 60784, 30128, 145838, 86005]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",3269,0
57560,"[34463, 4391, 1507]","[0, 1, 0]",12380,1
29083,"[22797, 7888, 56]","[1, 0, 1]",18979,1
56193,"[25856, 26122, 2485, 18723, 106907, 1520, 21201, 19900, 106908, 10969]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",52802,0
